n,time,total_time,nodes,results
29,0.11646103858947754,1.1105823516845703,37,"{'26': 1, '12': 2, '17': 3, '16': 5, '20': 4, '4': 6, '3': 8, '5': 11, '1': 12, '2': 10, '7': 16, '18': 13, '13': 9, '9': 19, '15': 14, '19': 7, '6': 24, '8': 25, '10': 22, '11': 26, '14': 21, '21': 18, '22': 20, '25': 28, '24': 17, '27': 27, '29': 23, '23': 15, '28': 29}"
30,0.1427021026611328,1.2532844543457031,37,"{'26': 1, '12': 2, '17': 3, '16': 5, '20': 4, '4': 6, '3': 8, '5': 11, '1': 12, '2': 10, '7': 16, '18': 13, '13': 9, '19': 7, '6': 19, '15': 14, '21': 15, '22': 20, '28': 21, '24': 24, '23': 27, '30': 17, '25': 28, '27': 18, '29': 26, '14': 30, '11': 23, '9': 29, '10': 25, '8': 22}"
31,0.1969280242919922,1.4502124786376953,51,"{'26': 1, '12': 2, '17': 3, '16': 5, '20': 4, '4': 6, '3': 8, '5': 11, '1': 12, '2': 10, '7': 16, '18': 13, '13': 9, '19': 7, '22': 14, '31': 18, '25': 19, '23': 20, '21': 21, '15': 22, '29': 27, '28': 29, '27': 31, '30': 15, '24': 17, '14': 26, '11': 28, '6': 24, '8': 30, '9': 23, '10': 25}"
32,6.047170877456665,7.49738335609436,1008,"{'26': 1, '12': 2, '17': 3, '16': 5, '20': 4, '4': 6, '3': 8, '5': 11, '1': 12, '2': 10, '7': 16, '18': 13, '23': 14, '19': 7, '22': 18, '21': 15, '15': 19, '27': 20, '31': 23, '25': 25, '28': 27, '24': 21, '32': 17, '30': 28, '29': 9, '14': 29, '13': 31, '10': 32, '11': 24, '8': 22, '9': 30, '6': 26}"
33,0.34043192863464355,7.837815284729004,39,"{'26': 1, '12': 2, '17': 3, '16': 5, '20': 4, '4': 6, '3': 8, '5': 11, '1': 12, '2': 10, '7': 16, '18': 13, '25': 7, '19': 15, '22': 14, '23': 17, '24': 9, '33': 20, '32': 23, '27': 24, '31': 19, '30': 28, '29': 30, '28': 21, '21': 25, '9': 26, '13': 31, '15': 22, '11': 27, '6': 33, '14': 29, '8': 18, '10': 32}"
34,0.6171808242797852,8.454996109008789,80,"{'26': 1, '12': 2, '17': 3, '16': 5, '20': 4, '4': 6, '3': 8, '5': 11, '1': 12, '2': 10, '23': 14, '18': 13, '14': 15, '22': 16, '28': 7, '11': 21, '7': 19, '21': 9, '6': 22, '9': 24, '15': 28, '19': 17, '32': 25, '25': 34, '30': 30, '34': 31, '10': 29, '33': 18, '24': 20, '27': 26, '31': 23, '29': 32, '8': 33, '13': 27}"
35,0.49095869064331055,8.9459547996521,55,"{'26': 1, '12': 2, '17': 3, '16': 5, '20': 4, '4': 6, '3': 8, '5': 11, '1': 12, '2': 10, '23': 14, '18': 13, '14': 15, '27': 7, '11': 21, '25': 17, '24': 9, '33': 16, '34': 22, '22': 18, '21': 20, '35': 28, '31': 29, '28': 25, '30': 24, '29': 33, '32': 19, '19': 26, '10': 34, '6': 32, '7': 23, '15': 35, '13': 30, '9': 27, '8': 31}"
36,0.4817988872528076,9.427753686904907,43,"{'26': 1, '12': 2, '17': 3, '16': 5, '20': 4, '4': 6, '34': 7, '25': 8, '8': 9, '27': 12, '31': 11, '33': 10, '7': 15, '11': 14, '23': 17, '9': 19, '10': 16, '3': 20, '15': 22, '19': 28, '24': 21, '13': 18, '14': 30, '18': 31, '6': 24, '5': 27, '29': 25, '28': 23, '32': 32, '30': 29, '36': 34, '35': 26, '22': 36, '21': 13, '2': 33, '1': 35}"
37,0.6682169437408447,10.095970630645752,47,"{'26': 1, '12': 2, '17': 3, '16': 5, '20': 4, '4': 6, '34': 7, '35': 9, '24': 11, '8': 8, '31': 12, '29': 17, '25': 20, '33': 15, '14': 18, '19': 10, '13': 21, '11': 14, '10': 16, '1': 22, '9': 19, '15': 24, '23': 28, '27': 23, '30': 27, '28': 26, '32': 31, '37': 29, '36': 13, '2': 35, '7': 33, '3': 30, '6': 25, '18': 34, '21': 32, '5': 37, '22': 36}"
38,0.7146141529083252,10.810584783554077,42,"{'26': 1, '12': 2, '17': 3, '16': 5, '20': 4, '4': 6, '34': 7, '36': 8, '25': 10, '32': 11, '7': 12, '5': 13, '10': 16, '24': 15, '1': 14, '6': 17, '23': 19, '9': 21, '21': 24, '22': 9, '8': 25, '11': 18, '3': 22, '18': 28, '19': 33, '15': 35, '14': 23, '13': 34, '27': 26, '30': 27, '33': 37, '28': 20, '29': 29, '31': 32, '35': 30, '37': 31, '38': 36, '2': 38}"
39,3.8330962657928467,14.643681049346924,187,"{'26': 1, '12': 2, '17': 3, '16': 5, '20': 4, '4': 6, '34': 7, '37': 8, '25': 10, '29': 9, '39': 11, '8': 14, '33': 15, '11': 12, '3': 13, '15': 18, '18': 16, '13': 17, '1': 24, '2': 26, '5': 21, '6': 23, '10': 22, '21': 28, '14': 25, '31': 27, '22': 31, '28': 19, '27': 35, '24': 39, '30': 29, '23': 37, '9': 34, '7': 33, '32': 20, '35': 30, '36': 36, '38': 32, '19': 38}"
