n,time,total_time,nodes,results
4,9.989738464355469e-05,9.989738464355469e-05,7,"{'4': 2, '3': 4, '2': 1, '1': 3}"
5,7.987022399902344e-05,0.00017976760864257812,5,"{'3': 1, '4': 3, '5': 5, '2': 4, '1': 2}"
6,0.00028324127197265625,0.0004630088806152344,19,"{'3': 1, '1': 5, '2': 3, '5': 4, '4': 6, '6': 2}"
7,0.00022220611572265625,0.0006852149963378906,10,"{'3': 1, '1': 2, '5': 5, '6': 3, '4': 7, '7': 6, '2': 4}"
8,0.0004382133483886719,0.0011234283447265625,13,"{'3': 1, '1': 2, '7': 3, '4': 7, '5': 4, '2': 6, '6': 8, '8': 5}"
9,0.0006871223449707031,0.0018105506896972656,12,"{'3': 1, '1': 2, '7': 3, '8': 5, '9': 8, '4': 7, '5': 9, '2': 4, '6': 6}"
10,0.0070569515228271484,0.008867502212524414,159,"{'3': 1, '1': 2, '7': 10, '5': 5, '6': 3, '9': 4, '4': 8, '2': 9, '10': 6, '8': 7}"
11,0.0071909427642822266,0.01605844497680664,112,"{'11': 1, '3': 2, '1': 5, '2': 7, '6': 4, '4': 10, '7': 9, '9': 6, '5': 8, '10': 11, '8': 3}"
12,0.004313230514526367,0.020371675491333008,50,"{'11': 1, '3': 2, '1': 3, '7': 4, '4': 10, '5': 12, '6': 7, '9': 9, '8': 11, '2': 6, '10': 5, '12': 8}"
13,0.005240201950073242,0.02561187744140625,48,"{'11': 1, '3': 2, '1': 3, '7': 4, '4': 5, '10': 10, '12': 7, '13': 9, '9': 12, '6': 11, '5': 13, '8': 6, '2': 8}"
14,0.0384821891784668,0.06409406661987305,257,"{'11': 1, '3': 2, '1': 3, '7': 4, '4': 9, '6': 14, '5': 12, '8': 6, '12': 7, '9': 13, '10': 11, '13': 5, '2': 8, '14': 10}"
15,0.004041910171508789,0.06813597679138184,17,"{'11': 1, '3': 2, '1': 3, '7': 4, '4': 5, '10': 6, '13': 7, '12': 10, '15': 8, '14': 14, '8': 13, '9': 15, '6': 9, '5': 12, '2': 11}"
16,0.008640050888061523,0.07677602767944336,29,"{'11': 1, '3': 2, '1': 3, '7': 4, '4': 5, '10': 6, '13': 7, '14': 9, '15': 15, '16': 8, '12': 16, '9': 12, '8': 14, '5': 10, '2': 11, '6': 13}"
17,0.018804073333740234,0.0955801010131836,63,"{'11': 1, '3': 2, '1': 3, '7': 4, '15': 6, '14': 8, '13': 5, '17': 10, '10': 14, '12': 7, '9': 17, '6': 9, '8': 15, '5': 11, '2': 12, '16': 16, '4': 13}"
18,0.017683744430541992,0.11326384544372559,43,"{'11': 1, '3': 2, '1': 3, '7': 4, '15': 6, '16': 8, '14': 9, '10': 10, '13': 14, '8': 17, '18': 12, '12': 16, '17': 15, '9': 5, '4': 18, '5': 11, '6': 13, '2': 7}"
19,0.015813112258911133,0.12907695770263672,32,"{'3': 1, '11': 2, '1': 4, '7': 3, '15': 5, '16': 8, '18': 7, '19': 12, '17': 11, '10': 9, '12': 14, '13': 17, '14': 15, '6': 16, '8': 19, '2': 10, '5': 18, '4': 13, '9': 6}"
20,0.0717921257019043,0.20086908340454102,138,"{'3': 1, '1': 2, '11': 3, '7': 4, '13': 6, '18': 5, '16': 10, '15': 14, '19': 8, '20': 15, '10': 12, '9': 16, '12': 18, '5': 13, '8': 20, '4': 17, '14': 19, '2': 11, '6': 9, '17': 7}"
21,0.09714508056640625,0.29801416397094727,149,"{'3': 1, '1': 2, '7': 3, '11': 4, '20': 5, '13': 7, '17': 6, '15': 12, '10': 9, '21': 8, '19': 11, '18': 20, '12': 19, '16': 21, '14': 14, '8': 18, '6': 10, '9': 15, '2': 16, '5': 17, '4': 13}"
22,0.0537409782409668,0.35175514221191406,66,"{'3': 1, '1': 2, '7': 3, '8': 5, '11': 4, '20': 6, '18': 7, '17': 11, '19': 10, '21': 9, '22': 12, '12': 15, '10': 21, '15': 17, '14': 19, '13': 8, '9': 13, '16': 22, '6': 14, '4': 20, '5': 18, '2': 16}"
23,0.0885920524597168,0.44034719467163086,96,"{'3': 1, '1': 2, '7': 3, '22': 4, '16': 5, '11': 6, '12': 11, '18': 9, '19': 12, '20': 8, '21': 13, '23': 7, '9': 16, '13': 22, '14': 19, '10': 14, '6': 23, '17': 20, '8': 10, '15': 21, '4': 15, '5': 17, '2': 18}"
24,0.07038211822509766,0.5107293128967285,58,"{'3': 1, '1': 2, '7': 3, '22': 4, '16': 5, '12': 6, '13': 10, '18': 9, '20': 8, '23': 7, '24': 11, '6': 13, '11': 14, '4': 12, '8': 23, '9': 20, '10': 24, '5': 17, '15': 21, '21': 16, '17': 22, '14': 18, '2': 15, '19': 19}"
25,0.041268110275268555,0.5519974231719971,25,"{'3': 1, '1': 2, '7': 3, '22': 4, '16': 5, '12': 6, '18': 9, '19': 11, '23': 8, '24': 10, '11': 13, '6': 14, '9': 16, '5': 17, '10': 7, '2': 12, '13': 19, '8': 21, '4': 15, '14': 23, '17': 22, '15': 18, '21': 20, '25': 25, '20': 24}"
26,0.0797891616821289,0.631786584854126,47,"{'3': 1, '1': 2, '7': 3, '22': 4, '16': 5, '25': 6, '12': 7, '11': 11, '17': 8, '24': 9, '23': 13, '21': 14, '26': 12, '10': 17, '15': 19, '20': 22, '14': 23, '19': 25, '18': 21, '13': 10, '9': 20, '5': 15, '4': 26, '2': 16, '6': 18, '8': 24}"
27,0.27106189727783203,0.902848482131958,159,"{'3': 1, '1': 2, '7': 3, '22': 4, '16': 5, '25': 6, '12': 7, '27': 10, '26': 12, '13': 15, '20': 13, '23': 11, '11': 14, '10': 17, '17': 22, '18': 24, '19': 27, '8': 8, '21': 20, '24': 21, '15': 9, '5': 25, '6': 16, '4': 19, '2': 18, '14': 26, '9': 23}"
28,0.8304991722106934,1.7333476543426514,406,"{'3': 1, '1': 2, '7': 3, '22': 4, '27': 5, '16': 6, '11': 8, '19': 10, '15': 9, '25': 11, '24': 7, '26': 13, '28': 12, '20': 15, '13': 20, '10': 18, '12': 22, '5': 25, '8': 17, '6': 21, '4': 16, '17': 28, '14': 27, '18': 24, '2': 19, '9': 14, '21': 23, '23': 26}"
29,0.7854769229888916,2.518824577331543,161,"{'3': 1, '1': 2, '7': 3, '22': 4, '27': 5, '16': 6, '11': 8, '19': 10, '15': 9, '25': 11, '24': 7, '29': 13, '28': 15, '20': 19, '26': 14, '18': 20, '14': 21, '13': 28, '17': 27, '10': 18, '12': 25, '9': 12, '21': 26, '5': 22, '8': 17, '2': 16, '4': 29, '6': 24, '23': 23}"
30,0.7514657974243164,3.2702903747558594,245,"{'3': 1, '1': 2, '7': 3, '22': 4, '27': 5, '16': 6, '11': 8, '29': 9, '15': 10, '25': 11, '17': 16, '8': 12, '18': 21, '19': 24, '13': 15, '24': 7, '6': 17, '23': 14, '9': 25, '4': 23, '10': 20, '12': 29, '28': 22, '2': 27, '20': 26, '14': 28, '5': 13, '21': 30, '26': 18, '30': 19}"
31,2.00484299659729,5.275133371353149,544,"{'3': 1, '1': 2, '7': 3, '22': 4, '27': 5, '16': 6, '11': 8, '29': 9, '15': 10, '25': 11, '31': 12, '18': 17, '28': 13, '30': 7, '17': 22, '13': 15, '12': 18, '14': 28, '24': 31, '23': 26, '19': 29, '5': 24, '9': 25, '20': 20, '21': 30, '26': 19, '2': 14, '4': 27, '10': 23, '6': 21, '8': 16}"
32,0.30321621894836426,5.578349590301514,74,"{'3': 1, '1': 2, '7': 3, '22': 4, '27': 5, '16': 6, '31': 7, '12': 9, '11': 13, '30': 10, '26': 11, '23': 12, '6': 14, '14': 17, '13': 20, '10': 15, '24': 18, '25': 16, '29': 21, '28': 23, '32': 25, '19': 28, '18': 31, '17': 29, '5': 22, '8': 8, '20': 24, '15': 30, '4': 26, '2': 27, '21': 32, '9': 19}"
33,0.9810960292816162,6.55944561958313,191,"{'3': 1, '1': 2, '7': 3, '22': 4, '27': 5, '16': 6, '31': 7, '32': 9, '12': 11, '14': 14, '10': 15, '20': 13, '26': 10, '28': 16, '30': 17, '25': 20, '29': 8, '4': 12, '13': 22, '17': 23, '11': 31, '24': 26, '8': 19, '5': 29, '15': 33, '23': 30, '19': 32, '9': 21, '18': 28, '6': 25, '21': 18, '2': 27, '33': 24}"
34,0.21036005020141602,6.769805669784546,41,"{'3': 1, '1': 2, '7': 3, '22': 4, '27': 5, '16': 6, '31': 7, '32': 9, '33': 12, '12': 11, '15': 10, '24': 13, '30': 14, '29': 17, '26': 23, '17': 19, '19': 24, '11': 18, '10': 20, '20': 28, '14': 25, '18': 22, '13': 29, '23': 32, '21': 33, '6': 21, '25': 8, '5': 26, '8': 27, '34': 34, '4': 30, '9': 15, '2': 16, '28': 31}"
35,4.744079113006592,11.513884782791138,960,"{'3': 1, '1': 2, '7': 3, '22': 4, '27': 5, '16': 6, '31': 7, '34': 8, '35': 10, '11': 13, '33': 14, '30': 9, '21': 12, '15': 15, '29': 17, '20': 23, '17': 11, '12': 19, '4': 16, '14': 20, '28': 21, '32': 27, '8': 29, '6': 35, '13': 22, '9': 31, '10': 26, '2': 25, '18': 32, '19': 34, '24': 28, '26': 18, '5': 24, '23': 33, '25': 30}"
36,1.3086647987365723,12.82254958152771,225,"{'3': 1, '1': 2, '7': 3, '22': 4, '27': 5, '16': 6, '31': 7, '35': 8, '34': 11, '36': 10, '23': 12, '19': 14, '26': 13, '11': 16, '12': 9, '30': 18, '10': 19, '33': 17, '14': 20, '4': 15, '18': 22, '15': 27, '9': 35, '20': 34, '13': 23, '24': 31, '21': 36, '17': 30, '29': 29, '32': 24, '6': 25, '5': 32, '2': 26, '25': 28, '28': 21, '8': 33}"
37,0.6575000286102295,13.48004961013794,105,"{'3': 1, '1': 2, '7': 3, '22': 4, '27': 5, '16': 6, '31': 7, '36': 8, '35': 10, '37': 11, '19': 12, '17': 16, '13': 15, '8': 13, '24': 18, '12': 22, '15': 21, '25': 14, '30': 17, '11': 19, '10': 25, '2': 9, '5': 24, '4': 20, '29': 29, '34': 26, '28': 31, '32': 23, '23': 27, '18': 36, '14': 35, '26': 37, '6': 34, '21': 30, '9': 32, '33': 28, '20': 33}"
38,0.8801498413085938,14.360199451446533,114,"{'3': 1, '1': 2, '7': 3, '22': 4, '27': 5, '16': 6, '31': 7, '37': 8, '36': 10, '33': 14, '35': 15, '29': 12, '15': 9, '25': 11, '38': 13, '18': 17, '17': 20, '13': 18, '10': 19, '8': 22, '14': 25, '5': 23, '2': 21, '12': 28, '19': 29, '4': 16, '21': 38, '23': 30, '20': 35, '24': 37, '6': 27, '11': 33, '9': 34, '30': 32, '28': 36, '32': 24, '26': 26, '34': 31}"
39,0.35240602493286133,14.712605476379395,39,"{'3': 1, '1': 2, '7': 3, '22': 4, '27': 5, '16': 6, '31': 7, '37': 8, '36': 10, '33': 14, '35': 15, '38': 11, '29': 12, '19': 16, '12': 17, '13': 20, '8': 19, '11': 13, '28': 23, '14': 22, '17': 26, '15': 25, '23': 29, '26': 18, '5': 9, '30': 24, '10': 27, '4': 30, '6': 33, '2': 21, '9': 39, '18': 38, '20': 35, '21': 37, '34': 34, '24': 36, '25': 28, '39': 32, '32': 31}"
40,2.1928439140319824,16.905449390411377,226,"{'3': 1, '1': 2, '7': 3, '22': 4, '27': 5, '16': 6, '31': 7, '37': 8, '36': 10, '33': 14, '35': 15, '39': 9, '15': 12, '40': 13, '21': 16, '30': 19, '10': 18, '11': 20, '13': 17, '17': 22, '29': 23, '12': 11, '32': 24, '18': 25, '38': 21, '34': 27, '25': 37, '23': 34, '28': 38, '20': 40, '24': 39, '14': 30, '19': 36, '26': 28, '6': 29, '4': 32, '5': 35, '2': 31, '9': 33, '8': 26}"
